neg_proba,pos_proba,Tweet,sentiment,created_at
0.97624195,0.023758091000000002,حتى لو كل الشعب اخذ اللقاح يا ريت ثقافة البوس ما ترجع ابدا,very negative,2021-04-30 23:58:01
0.9465843,0.053415783,هل في خدمة تلقيح لكبار السن في المنزل اذا فيه ماهي الية التسجيل ومانوع اللقاح,very negative,2021-04-30 22:07:53
0.91819483,0.08180514,يادي البلاوي الي ورا بعضيها شو نعمل طيب ناخد اللقاح ولا لا و اي نوع,very negative,2021-04-30 20:21:43
0.8480993,0.15190066,اللي اخد اللقاح هاي الفترة شو نوع اللي اخدتوه,very negative,2021-04-30 20:11:42
0.8291545,0.17084551,خبراء اللقاح هو الحل الامثل لعودة التعليم الوجاهي احداث اليوم الاردن كورونا,very negative,2021-04-30 19:04:06
0.5941773,0.40582275,عاجل لقاء الاسبوع عزمي محافظة الحظر الجزئي غير مفيد كورونا اكثر انتشارا بالبيوت تلقي المطعوم مسالة اخلاق,negative,2021-04-30 18:59:15
0.9001170000000001,0.09988303,على البعض اخذ اللقاح في منطقة الراس بلكي المخ اشتغل,very negative,2021-04-30 18:06:29
0.82044476,0.17955522,خبراء تربوي ون اللقاح هو الحل الامثل لعودة التعليم الوجاهي,very negative,2021-04-30 17:30:58
0.5922363,0.40776372,تم تلقيح كل الشعب الاسرائيلي قبل رمضان عزيزتي ولديهم فائض مليون من اللقحات العالم كله يتسارع للحصول,negative,2021-04-30 16:52:17
0.6119989,0.3880011,في كل الاحوال القرار لن يصمد لوجود عدد ضخم في الامارات تلقى اللقاح الصيني و الحركه بين البلدين كبيره,negative,2021-04-30 16:40:27
0.91625214,0.08374791,القرار له علاقه بكون اللقاح الصيني غير معتمد في السعوديه,very negative,2021-04-30 16:39:00
0.7905614000000001,0.20943865,خبراء تربوي ون اللقاح هو الحل لعودة التعليم الوجاهي,very negative,2021-04-30 16:15:00
0.8218655999999999,0.17813435,خبراء تربوي ون اللقاح هو الحل الامثل لعودة التعليم الوجاهي الاردن,very negative,2021-04-30 16:00:04
0.8561247,0.14387523,عاجل خبراء تربوي ون اللقاح هو الحل الامثل لعودة التعليم الوجاهي,very negative,2021-04-30 15:56:52
0.6283502,0.37164977,خبراء تربوي ون اللقاح هو الحل الامثل لعودة التعليم الوجاهي بترا الاردن,negative,2021-04-30 15:56:24
0.84293544,0.15706456,شخص قرر يتلقى اللقاح دائرة المؤامرات الماسونية بامريكا,very negative,2021-04-30 15:39:08
0.90790546,0.092094526,عاجل خبراء تربويون اللقاح هو الحل الامثل لعودة التعليم الوجاهي,very negative,2021-04-30 15:14:00
0.8609443999999999,0.13905564,ما نعرفه عن كورونا في الهند الف وفاة وفاة يوميا فقط نسبة من اخذوا اللقاح الجرعه الاولى فقط,very negative,2021-04-30 15:02:37
0.48559913,0.5144009,لقاء الدكتور محمد حسن الطراونة المتحور الهندي و اللقاح,neutral or mixed,2021-04-30 14:55:59
0.6947559,0.30524403,خبراء تربوي ون اللقاح هو الحل الامثل لعودة التعليم الوجاهي صحيفة الراي,negative,2021-04-30 14:32:57
0.731108,0.268892,خبراء تربويون اللقاح هو الحل الامثل لعودة التعليم الوجاهي,very negative,2021-04-30 14:32:49
0.8163701999999999,0.18362975,خاوا يعني اللقاح طيب شو مصلحتكم كل واحد ادرى بصحته,very negative,2021-04-30 14:08:53
0.85985035,0.14014964,خبراء تربويون اللقاح هو الحل الامثل لعودة التعليم الوجاهي عاجل رؤيا الاخباري الاردن كورونا,very negative,2021-04-30 14:05:24
0.96000916,0.039990793999999996,على اعتاب موجة كورونا جديدة ومع وصول اللقاح مخاوف من التمييز باعطاء اللقاح في مناطق النظام واستخدامه اللقا,very negative,2021-04-30 11:26:49
0.2981446,0.7018554,تلقى عدد من الشخصيات في مديرية صحة ادلب والكوادر الطبية وعناصر من الدفاع المدني اللقاح ضد كوفيد وذلك في ح,very positive,2021-04-30 11:26:47
0.74117607,0.2588239,روح اخذ اللقاح يمعود تره اكول للسيد عليك ما اخذ اللقاح واخلي يهينك,very negative,2021-04-30 11:16:29
