Tweets,created_at,sentiment,score
الشعب اخذ اللقاح ريت ثقافه البوس ترجع ابدا,2021-04-30 23:58:01,pos,0.5129933953285217
الشعب اخذ اللقاح ريت ثقافه البوس ترجع ابدا,2021-04-30 23:54:29,pos,0.5129933953285217
خدمه تلقيح لكبار السن المنزل اذا ماهي اليه التسجيل ومانوع اللقاح,2021-04-30 22:07:53,mixed,0.40994349122047424
يادي البلاوي الي ورا بعضيها شو نعمل طيب ناخد اللقاح و اي نوع,2021-04-30 20:21:43,neg,0.5367445349693298
اللي اخد اللقاح هاي الفتره شو نوع اللي اخدتوه,2021-04-30 20:11:42,neg,0.513260006904602
خبراء اللقاح الحل الامثل لعوده التعليم الوجاهي  احداثاليوم الاردن كورونا,2021-04-30 19:04:06,pos,0.5564714074134827
عاجل لقاء الاسبوع عزمي محافظه الحظر الجزءي مفيد كورونا اكثر انتشارا بالبيوت تلقي المطعوم مساله اخلاق,2021-04-30 18:59:15,neg,0.42328912019729614
البعض اخذ اللقاح منطقه الراس بلكي المخ اشتغل,2021-04-30 18:06:29,mixed,0.38292860984802246
خبراء تربويون اللقاح الحل الامثل لعوده التعليم الوجاهي,2021-04-30 17:30:58,pos,0.5752568244934082
تم تلقيح الشعب الاسراءيلي قبل رمضان عزيزتي ولديهم فاءض ٢ مليون اللقحاتالعالم كله يتسارع للحصول,2021-04-30 16:52:17,pos,0.44538387656211853
الاحوال القرار يصمد لوجود عدد ضخم الامارات تلقى اللقاح الصيني و الحركه البلدين كبيره,2021-04-30 16:40:27,mixed,0.3961372375488281
القرار علاقه بكون اللقاح الصيني معتمد السعوديه,2021-04-30 16:39:00,neg,0.4554067850112915
خبراء تربويون اللقاح الحل لعوده التعليم الوجاهي,2021-04-30 16:15:00,pos,0.4855216443538666
خبراء تربويون اللقاح الحل الامثل لعوده التعليم الوجاهي  الاردن,2021-04-30 16:00:04,pos,0.6213595867156982
عاجل خبراء تربويون اللقاح الحل الامثل لعوده التعليم الوجاهي,2021-04-30 15:56:52,pos,0.503154993057251
خبراء تربويون اللقاح الحل الامثل لعوده التعليم الوجاهي  بترا الاردن,2021-04-30 15:56:24,pos,0.6616623997688293
شخص قرر يتلقى اللقاح داءره المءامرات الماسونيه بامريكا,2021-04-30 15:39:08,neg,0.4509688913822174
عاجل خبراء تربويون اللقاح الحل الامثل لعوده التعليم الوجاهي,2021-04-30 15:14:00,pos,0.503154993057251
نعرفه كورونا الهند ٢٠٠ الف وفاه ٢٠٠٠ وفاه يوميا ١٠٪ فقط نسبه اخذوا اللقاح الجرعه الاولى ١٪ فقط,2021-04-30 15:02:37,neg,0.49141520261764526
لقاء الدكتور محمد حسن الطراونهالمتحورالهنديواللقاح,2021-04-30 14:55:59,pos,0.7012649774551392
خبراء تربويون اللقاح الحل الامثل لعوده التعليم الوجاهي  صحيفهالراي,2021-04-30 14:32:57,pos,0.5551192760467529
خبراء تربويون اللقاح الحل الامثل لعوده التعليم الوجاهي,2021-04-30 14:32:49,pos,0.5752568244934082
خاوا يعني اللقاح طيب شو مصلحتكم واحد ادرى بصحته,2021-04-30 14:08:53,neg,0.6712127923965454
خبراء تربويون اللقاح الحل الامثل لعوده التعليم الوجاهي عاجل رءياالاخباري الاردن كورونا,2021-04-30 14:05:24,pos,0.48726361989974976
خبراء تربويون اللقاح الحل الامثل لعوده التعليم الوجاهي عاجل رءياالاخباري الاردن كورونا,2021-04-30 14:05:00,pos,0.48726361989974976
خبراء تربويون اللقاح الحل الامثل لعوده التعليم الوجاهي عاجل رءياالاخباري الاردن كورونا,2021-04-30 14:04:43,pos,0.48726361989974976
شخص قرر يتلقى اللقاح داءره المءامرات الماسونيه بامريكا,2021-04-30 11:35:06,neg,0.4509688913822174
